Date,Dr
2018-02-16,6.666666666666667
2018-02-17,5.549999999999997
2018-02-18,5.450000000000001
2018-02-19,7.140000000000001
2018-02-20,6.975
2018-02-21,7.1333333333333355
2018-02-22,5.800000000000001
2018-02-23,8.499999999999998
2018-02-24,7.466666666666669
2018-02-25,3.849999999999998
2018-02-26,3.4999999999999987
2018-02-27,4.600000000000001
2018-02-28,7.299999999999999
2018-03-01,9.75
2018-03-02,10.299999999999997
2018-03-03,10.95
2018-03-04,8.533333333333333
2018-03-05,9.139999999999999
2018-03-06,6.5666666666666655
2018-03-07,5.800000000000001
2018-03-08,6.199999999999998
2018-03-09,5.249999999999998
2018-03-10,3.75
2018-03-11,8.150000000000002
2018-03-12,7.633333333333334
2018-03-13,6.9333333333333345
2018-03-14,8.700000000000001
2018-03-15,9.350000000000001
2018-03-16,6.15
2018-03-17,4.099999999999998
2018-03-18,4.85
2018-03-19,3.5250000000000004
2018-03-20,5.150000000000002
2018-03-21,5.324999999999999
2018-03-22,7.899999999999999
2018-03-23,8.0
2018-03-24,7.799999999999997
2018-03-25,7.480000000000001
2018-03-26,6.950000000000003
2018-03-27,5.875
2018-03-28,5.75
2018-03-29,6.5
2018-03-30,7.300000000000001
2018-03-31,8.566666666666666
2018-04-01,6.733333333333333
2018-04-02,8.024999999999999
2018-04-03,7.733333333333333
2018-04-04,10.649999999999999
2018-04-05,9.899999999999999
2018-04-06,9.699999999999998
2018-04-07,10.233333333333333
2018-04-08,12.8
2018-04-09,6.599999999999999
2018-04-10,8.7
2018-04-11,8.38
2018-04-12,9.149999999999999
2018-04-13,6.866666666666667
2018-04-14,10.549999999999999
2018-04-15,10.4
2018-04-16,8.7
2018-04-17,7.4750000000000005
2018-04-18,10.849999999999996
2018-04-19,6.649999999999997
2018-04-20,6.649999999999999
2018-04-21,5.4
2018-04-22,4.800000000000002
2018-04-23,8.633333333333335
2018-04-24,8.919999999999998
2018-04-25,9.800000000000002
2018-04-26,10.349999999999998
2018-04-27,9.100000000000001
2018-04-28,6.9499999999999975
2018-04-29,6.400000000000002
2018-04-30,7.479999999999999
2018-05-01,5.183333333333334
2018-05-02,3.8500000000000014
2018-05-03,3.900000000000002
2018-05-04,3.75
2018-05-05,3.25
2018-05-06,5.033333333333334
2018-05-07,1.5000000000000036
2018-05-08,3.933333333333335
2018-05-09,2.700000000000003
2018-05-10,4.033333333333331
2018-05-11,2.6499999999999986
2018-05-12,5.033333333333334
2018-05-13,4.400000000000002
2018-05-14,3.2000000000000006
2018-05-15,2.233333333333332
2018-05-16,0.8000000000000007
2018-05-17,4.2
2018-05-18,-4.549999999999997
2018-05-19,-0.3000000000000019
2018-05-20,-0.1999999999999993
2018-05-21,1.6333333333333329
2018-05-22,5.18
2018-05-23,5.099999999999998
2018-05-24,6.500000000000003
2018-05-25,3.866666666666667
2018-05-26,5.800000000000001
2018-05-27,6.000000000000002
2018-05-28,7.0
2018-05-29,5.150000000000001
2018-05-30,6.35
2018-05-31,3.8333333333333335
2018-06-01,4.333333333333335
2018-06-02,5.249999999999998
2018-06-03,5.299999999999997
2018-06-04,8.100000000000001
2018-06-05,8.1
2018-06-06,9.16666666666667
2018-06-07,7.3
2018-06-08,9.250000000000002
2018-06-09,10.150000000000002
2018-06-10,7.0
2018-06-11,8.2
2018-06-12,7.225000000000001
2018-06-13,7.3666666666666645
2018-06-14,6.775
2018-06-15,6.199999999999999
2018-06-16,6.449999999999999
2018-06-17,6.220000000000001
2018-06-18,8.283333333333333
2018-06-19,4.975
2018-06-20,4.133333333333333
2018-06-21,6.666666666666668
2018-06-22,6.000000000000003
2018-06-23,5.299999999999999
2018-06-24,7.033333333333331
2018-06-25,5.866666666666667
2018-06-26,4.100000000000001
2018-06-27,4.600000000000001
2018-06-28,8.299999999999999
2018-06-29,7.9399999999999995
2018-06-30,9.45
2018-07-01,7.775000000000001
2018-07-02,9.366666666666669
2018-07-03,4.399999999999999
2018-07-04,7.150000000000002
2018-07-05,8.466666666666667
2018-07-06,6.700000000000001
2018-07-07,8.066666666666666
2018-07-08,12.4
2018-07-09,12.3
2018-07-10,8.25
2018-07-11,12.066666666666668
2018-07-12,10.166666666666664
2018-07-13,11.150000000000004
2018-07-14,10.866666666666667
2018-07-15,11.949999999999998
2018-07-16,9.200000000000003
2018-07-17,7.999999999999999
2018-07-18,5.8666666666666645
2018-07-19,5.366666666666667
2018-07-20,4.550000000000001
2018-07-21,4.049999999999997
2018-07-22,6.350000000000001
2018-07-23,7.2
2018-07-24,5.566666666666667
2018-07-25,5.966666666666668
2018-07-26,5.824999999999999
2018-07-27,6.4399999999999995
2018-07-28,4.0500000000000025
2018-07-29,4.3000000000000025
2018-07-30,4.833333333333331
2018-07-31,5.94
2018-08-01,6.450000000000001
2018-08-02,5.5249999999999995
2018-08-03,8.449999999999998
2018-08-04,7.449999999999999
2018-08-05,5.799999999999999
2018-08-06,5.666666666666667
2018-08-07,2.6000000000000014
2018-08-08,4.6333333333333355
2018-08-09,7.749999999999999
2018-08-10,12.75
2018-08-12,6.75
2018-08-13,10.0
2018-08-14,7.033333333333334
2018-08-15,4.633333333333333
2018-08-16,4.283333333333332
2018-08-17,2.0
2018-08-18,2.75
2018-08-19,2.125
2018-08-20,0.4999999999999976
2018-08-21,4.380000000000001
2018-08-22,3.025000000000002
2018-08-23,4.279999999999999
2018-08-24,5.58
2018-08-25,7.025
2018-08-26,10.6
2018-08-27,7.400000000000001
2018-08-28,10.425
2018-08-29,12.1
2018-08-30,8.525000000000002
2018-08-31,7.5600000000000005
2018-09-01,7.849999999999998
2018-09-02,6.4
2018-09-03,8.55
2018-09-04,9.299999999999997
2018-09-05,9.375
2018-09-06,9.375000000000002
2018-09-07,9.799999999999999
2018-09-08,10.533333333333331
2018-09-09,10.05
2018-09-10,9.366666666666667
2018-09-11,7.3999999999999995
2018-09-12,9.266666666666664
2018-09-13,10.149999999999999
2018-09-14,7.3833333333333355
2018-09-15,8.466666666666667
2018-09-16,5.825
2018-09-17,7.3333333333333295
2018-09-18,6.475
2018-09-19,7.271428571428572
2018-09-20,4.824999999999999
2018-09-21,5.533333333333332
2018-09-22,6.049999999999999
2018-09-23,7.485714285714286
2018-09-24,7.812499999999999
2018-09-25,5.950000000000001
2018-09-26,5.733333333333334
2018-09-27,5.959999999999999
2018-09-28,7.014285714285715
2018-09-29,7.575000000000001
2018-09-30,7.7
2018-10-01,10.540000000000001
2018-10-02,8.633333333333333
2018-10-03,9.649999999999999
2018-10-04,9.360000000000003
2018-10-05,10.083333333333334
2018-10-06,12.766666666666667
2018-10-07,9.05
2018-10-08,11.766666666666667
2018-10-09,10.35
2018-10-10,9.633333333333335
2018-10-11,10.760000000000002
2018-10-12,8.35
2018-10-13,8.0
2018-10-14,7.859999999999999
2018-10-15,8.233333333333334
2018-10-16,8.15
2018-10-17,8.583333333333334
2018-10-18,7.55
2018-10-19,8.333333333333334
2018-10-20,8.680000000000001
2018-10-21,8.1
2018-10-22,5.86
2018-10-23,6.659999999999999
2018-10-24,6.3666666666666645
2018-10-25,5.983333333333333
2018-10-26,6.05
2018-10-27,8.850000000000001
2018-10-28,8.28
2018-10-29,7.400000000000001
2018-10-30,7.0874999999999995
2018-10-31,6.583333333333332
2018-11-01,5.25
2018-11-02,6.029999999999999
2018-11-03,8.123076923076923
2018-11-04,7.328571428571429
2018-11-05,7.333333333333335
2018-11-06,7.500000000000001
2018-11-07,7.000000000000004
2018-11-08,7.500000000000003
2018-11-09,8.833333333333334
2018-11-10,8.733333333333329
2018-11-11,6.566666666666663
2018-11-12,12.199999999999998
2018-11-14,9.0
2018-11-15,7.0
2018-11-16,8.0
2018-11-19,7.0
2018-11-20,6.0
2018-11-21,7.0
2018-11-22,7.0
2018-11-23,7.5
2018-11-26,8.0
2018-11-27,8.0
2018-11-28,7.0
2018-11-29,7.0
2018-11-30,5.5
2018-12-02,6.0
2018-12-03,4.0
2018-12-04,6.0
2018-12-05,5.0
2018-12-06,7.0
2018-12-07,6.5
2018-12-09,2.0
2018-12-10,6.0
2018-12-11,4.0
2018-12-12,6.0
2018-12-13,6.0
2018-12-14,5.333333333333333
2018-12-17,6.0
2018-12-18,6.0
2018-12-19,5.0
2018-12-20,6.0
2018-12-21,5.0
2018-12-24,8.0
2018-12-26,10.0
2018-12-27,8.0
2018-12-28,7.0
2018-12-30,7.0
2018-12-31,9.0
2019-01-02,10.0
2019-01-03,9.0
2019-01-04,7.0
2019-01-05,6.0
2019-01-06,7.0
2019-01-07,7.0
2019-01-08,8.0
2019-01-09,7.0
2019-01-10,8.0
2019-01-11,7.5
2019-01-12,7.0
2019-01-13,6.0
2019-01-14,7.0
2019-01-15,7.5
2019-01-16,9.0
2019-01-17,7.0
2019-01-18,7.0
2019-01-19,7.0
2019-01-20,8.0
2019-01-21,5.399999999999999
2019-01-22,5.5
2019-01-23,7.0
2019-01-24,8.0
2019-01-25,7.5
2019-01-26,6.0
2019-01-27,5.0
2019-01-28,7.0
2019-01-29,7.0
2019-01-30,7.0
2019-01-31,5.0
2019-02-01,5.5
2019-02-02,6.0
2019-02-03,7.0
2019-02-04,7.0
2019-02-05,6.0
2019-02-06,5.0
2019-02-07,7.0
2019-02-08,6.0
2019-02-09,7.0
2019-02-10,3.0
2019-02-11,4.0
2019-02-12,5.0
2019-02-13,4.0
2019-02-14,5.0
2019-02-15,5.0
2019-02-16,5.399999999999999
2019-02-17,6.0
2019-02-18,8.0
2019-02-19,8.0
2019-02-20,5.0
2019-02-21,8.0
2019-02-22,5.5
2019-02-23,5.5
2019-02-24,5.5
2019-02-25,7.0
2019-02-26,6.0
2019-02-27,6.0
2019-02-28,6.0
2019-03-01,6.333333333333333
2019-03-02,6.0
2019-03-03,6.0
2019-03-04,6.0
2019-03-05,4.0
2019-03-06,6.0
2019-03-07,5.0
2019-03-08,5.0
2019-03-09,4.0
2019-03-10,4.0
2019-03-11,7.0
2019-03-12,6.0
2019-03-13,6.0
2019-03-14,5.0
2019-03-15,6.5
2019-03-16,8.0
2019-03-17,8.0
2019-03-18,8.0
2019-03-19,8.0
2019-03-20,7.0
2019-03-21,8.0
2019-03-22,6.5
2019-03-23,6.0
2019-03-24,2.366666666666665
2019-03-25,7.0
2019-03-26,6.0
2019-03-27,6.0
2019-03-28,8.5
2019-03-29,6.0
2019-03-30,6.0
2019-03-31,5.5
2019-04-01,4.0
2019-04-02,7.0
2019-04-03,5.0
2019-04-04,5.5
2019-04-05,7.0
2019-04-06,5.0
2019-04-07,7.5
2019-04-08,6.0
2019-04-09,8.0
2019-04-10,7.0
2019-04-11,6.0
2019-04-12,6.0
2019-04-13,5.0
2019-04-14,4.0
2019-04-15,3.0
2019-04-16,7.0
2019-04-17,6.0
2019-04-18,6.0
2019-04-19,6.5
2019-04-20,6.0
2019-04-21,9.0
2019-04-22,8.0
2019-04-23,7.0
2019-04-24,6.0
2019-04-25,5.0
2019-04-26,5.5
2019-04-27,6.0
2019-04-28,6.0
2019-04-29,6.5
2019-04-30,6.0
2019-05-01,6.0
2019-05-02,6.0
2019-05-03,5.0
2019-05-04,5.0
2019-05-05,4.0
2019-05-06,6.0
2019-05-07,6.0
2019-05-08,6.0
2019-05-09,6.0
2019-05-10,5.5
2019-05-11,1.0
2019-05-12,5.0
2019-05-13,5.0
2019-05-14,4.0
2019-05-15,4.0
2019-05-16,5.0
2019-05-17,4.5
2019-05-18,6.0
2019-05-19,7.0
2019-05-20,5.0
2019-05-21,7.0
2019-05-22,6.0
2019-05-23,7.0
2019-05-24,5.5
2019-05-25,6.0
2019-05-26,6.0
2019-05-28,8.0
2019-05-29,6.0
2019-05-30,5.0
2019-05-31,5.0
2019-06-01,5.5
2019-06-02,7.0
2019-06-03,6.0
2019-06-04,5.0
2019-06-05,8.0
2019-06-06,4.900000000000002
2019-06-07,6.0
2019-06-08,5.0
2019-06-09,8.5
2019-06-10,7.0
2019-06-11,6.5
2019-06-12,8.0
2019-06-13,6.0
2019-06-14,6.0
2019-06-15,5.0
2019-06-16,5.0
2019-06-17,6.0
2019-06-18,7.0
2019-06-19,8.0
2019-06-20,7.0
2019-06-21,6.0
2019-06-22,6.0
2019-06-23,5.0
2019-06-24,3.6666666666666665
2019-06-25,6.0
2019-06-26,6.0
2019-06-27,6.0
2019-06-28,6.0
2019-06-29,6.0
2019-06-30,6.0
2019-07-01,7.5
2019-07-02,8.0
2019-07-03,7.0
2019-07-04,7.0
2019-07-05,7.0
2019-07-06,6.0
2019-07-07,6.0
2019-07-08,6.0
2019-07-09,8.0
2019-07-10,7.0
2019-07-11,6.0
2019-07-12,6.0
2019-07-13,7.0
2019-07-14,7.0
2019-07-15,5.0
2019-07-16,5.5
2019-07-17,6.0
